Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.28,-.05,-.37,-.13,-.02,-.81,-.46,-.28,-.16,-.11,-.05,.05,.66
1881,-.09,-.18,.00,-.34,.10,-.07,-.90,-.43,-.21,.09,.10,-.06,-.07,.58
1882,-.11,-.21,-.01,-.31,-.05,.01,-1.40,-.25,-.16,-.06,-.05,.00,.04,.61
1883,-.18,-.29,-.07,-.35,-.17,-.02,-.19,-.54,-.28,-.18,-.15,-.05,.07,.49
1884,-.28,-.42,-.15,-.60,-.15,-.14,-1.29,-.62,-.47,-.13,-.16,-.20,-.02,.64
1885,-.33,-.43,-.25,-.65,-.13,-.28,-1.50,-.66,-.47,-.07,-.20,-.34,-.15,.81
1886,-.31,-.43,-.20,-.57,-.20,-.22,-1.58,-.49,-.41,-.21,-.18,-.21,-.20,.58
1887,-.36,-.44,-.29,-.53,-.30,-.29,-1.76,-.50,-.30,-.30,-.30,-.28,-.26,.31
1888,-.17,-.23,-.12,-.42,.10,-.29,-1.30,-.42,-.25,.07,.14,-.31,-.23,.15
1889,-.10,-.17,-.04,-.29,.08,-.17,-.67,-.21,-.28,.02,.15,-.16,-.15,.44
1890,-.35,-.38,-.32,-.45,-.36,-.23,-1.14,-.55,-.27,-.27,-.46,-.18,-.27,.14
1891,-.23,-.26,-.19,-.43,-.07,-.22,-1.13,-.34,-.36,.01,-.16,-.18,-.24,-.17
1892,-.27,-.40,-.15,-.44,-.29,-.08,-1.14,-.66,-.17,-.33,-.26,.02,-.21,.08
1893,-.31,-.47,-.15,-.51,-.36,-.05,-.64,-.55,-.47,-.41,-.30,.06,-.20,-.05
1894,-.30,-.38,-.21,-.32,-.33,-.24,-.90,-.32,-.19,-.48,-.18,-.15,-.35,-.39
1895,-.22,-.30,-.15,-.40,-.07,-.26,-.66,-.53,-.27,-.14,.01,-.20,-.32,-.60
1896,-.11,-.19,-.03,-.34,.10,-.16,-.84,-.37,-.22,.06,.15,-.15,-.13,.24
1897,-.10,-.16,-.05,-.35,.18,-.24,-.53,-.46,-.24,.14,.22,-.19,-.27,.39
1898,-.27,-.29,-.26,-.35,-.21,-.27,-1.15,-.24,-.24,-.18,-.25,-.28,-.21,.36
1899,-.17,-.21,-.14,-.24,-.11,-.19,-1.02,-.10,-.15,-.15,-.07,-.15,-.22,.57
1900,-.08,-.09,-.06,-.20,.18,-.30,-.54,-.16,-.15,.10,.27,-.29,-.29,.26
1901,-.15,-.12,-.18,-.16,-.03,-.31,-.42,-.10,-.15,-.05,.00,-.27,-.34,.25
1902,-.27,-.33,-.22,-.53,-.03,-.35,-1.40,-.51,-.32,-.02,-.04,-.28,-.43,-.06
1903,-.37,-.38,-.36,-.47,-.28,-.39,-.28,-.42,-.56,-.23,-.32,-.36,-.40,-.50
1904,-.47,-.48,-.46,-.51,-.46,-.44,-.18,-.60,-.55,-.43,-.48,-.37,-.49,-1.33
1905,-.26,-.29,-.22,-.41,-.08,-.36,-.04,-.23,-.62,-.11,-.04,-.33,-.37,-.34
1906,-.22,-.24,-.21,-.26,-.19,-.24,-.27,-.07,-.40,-.20,-.17,-.21,-.23,-.72
1907,-.38,-.47,-.30,-.59,-.30,-.29,-.56,-.73,-.52,-.30,-.30,-.21,-.37,-1.21
1908,-.43,-.45,-.40,-.48,-.43,-.36,-.22,-.55,-.52,-.42,-.45,-.29,-.48,.67
1909,-.48,-.49,-.48,-.53,-.47,-.44,-.73,-.62,-.44,-.43,-.52,-.38,-.52,-.58
1910,-.43,-.44,-.43,-.41,-.48,-.38,-.57,-.24,-.49,-.47,-.49,-.33,-.45,.15
1911,-.44,-.42,-.46,-.42,-.42,-.48,-.28,-.42,-.47,-.42,-.42,-.44,-.53,.04
1912,-.36,-.46,-.25,-.60,-.17,-.37,-.50,-.79,-.50,-.26,-.08,-.37,-.29,-1.64
1913,-.34,-.42,-.26,-.44,-.27,-.35,-.48,-.33,-.51,-.38,-.14,-.29,-.40,-1.05
1914,-.15,-.19,-.11,-.25,-.06,-.18,-.34,-.16,-.29,-.10,-.01,-.16,-.18,-.37
1915,-.14,-.14,-.13,-.24,-.01,-.22,-.59,-.17,-.19,-.01,-.01,-.15,-.23,-1.99
1916,-.36,-.42,-.31,-.37,-.44,-.23,-.47,-.54,-.24,-.49,-.40,-.23,-.17,-1.06
1917,-.46,-.57,-.36,-.50,-.63,-.19,-.80,-.50,-.43,-.68,-.58,-.23,-.10,.05
1918,-.29,-.39,-.20,-.40,-.33,-.14,-1.00,-.27,-.34,-.37,-.28,-.06,-.23,-.29
1919,-.28,-.35,-.20,-.44,-.19,-.23,-.70,-.56,-.30,-.22,-.17,-.15,-.32,.19
1920,-.27,-.30,-.24,-.25,-.25,-.33,-.01,-.20,-.35,-.37,-.13,-.19,-.48,-1.15
1921,-.19,-.11,-.27,.02,-.25,-.31,-.02,.17,-.08,-.28,-.21,-.23,-.38,-.85
1922,-.28,-.27,-.30,-.25,-.31,-.28,-.33,-.40,-.13,-.31,-.31,-.25,-.29,-.29
1923,-.26,-.22,-.31,-.15,-.29,-.34,.16,-.15,-.25,-.31,-.27,-.27,-.41,-.56
1924,-.27,-.18,-.36,-.13,-.25,-.44,.45,-.25,-.23,-.26,-.25,-.40,-.45,-.54
1925,-.22,-.14,-.30,-.05,-.23,-.38,-.11,.18,-.18,-.27,-.20,-.25,-.55,-.87
1926,-.11,.02,-.22,.02,.02,-.41,.55,.16,-.22,.02,.03,-.35,-.45,-.65
1927,-.22,-.13,-.29,-.13,-.15,-.39,.01,-.22,-.13,-.13,-.17,-.31,-.45,-1.39
1928,-.20,-.10,-.29,-.07,-.14,-.40,.69,-.17,-.23,-.13,-.15,-.29,-.48,-2.13
1929,-.36,-.33,-.38,-.38,-.27,-.46,.13,-.62,-.38,-.26,-.28,-.43,-.45,-1.09
1930,-.16,-.01,-.29,.04,-.10,-.43,.52,.04,-.11,-.08,-.12,-.33,-.47,-2.61
1931,-.09,.05,-.21,.01,.09,-.43,.55,-.04,-.14,.12,.06,-.42,-.40,-.42
1932,-.15,-.05,-.25,.03,-.15,-.35,.47,.19,-.21,-.17,-.13,-.21,-.53,-1.00
1933,-.28,-.25,-.31,-.24,-.27,-.34,-.17,-.47,-.12,-.27,-.27,-.22,-.48,-1.16
1934,-.12,.00,-.25,.17,-.24,-.26,.87,.31,-.12,-.25,-.23,-.15,-.38,-.58
1935,-.19,-.09,-.29,-.04,-.17,-.38,.34,-.05,-.16,-.15,-.19,-.30,-.42,-1.72
1936,-.14,-.03,-.25,-.03,-.11,-.30,.39,.11,-.25,-.04,-.19,-.26,-.33,-.04
1937,-.02,.13,-.17,.20,-.04,-.22,1.23,.03,-.02,.02,-.10,-.19,-.26,.35
1938,.00,.17,-.17,.39,-.21,-.10,1.50,.39,.03,-.17,-.26,-.06,-.11,-.88
1939,-.01,.10,-.12,.23,-.11,-.12,.56,.28,.09,-.10,-.12,-.04,-.19,-1.61
1940,.13,.18,.10,.11,.29,-.07,1.00,-.02,-.09,.28,.30,.03,-.20,-.07
1941,.19,.23,.17,.01,.50,-.05,.00,-.09,.09,.55,.44,.04,-.15,-.48
1942,.07,.13,.01,.13,.08,-.01,.73,-.06,.06,.13,.04,.06,-.05,-.91
1943,.09,.18,-.01,.37,-.08,.04,1.41,.28,.11,-.10,-.06,.07,.00,1.13
1944,.21,.27,.14,.38,.19,.05,1.18,.47,.10,.12,.27,.18,-.10,-.95
1945,.09,.11,.09,.11,.17,-.03,.63,-.02,.04,.10,.25,.03,.00,-1.79
1946,-.07,.03,-.17,.07,-.04,-.24,-.03,-.05,.17,-.02,-.06,-.22,-.24,-.19
1947,-.02,.08,-.13,.16,-.05,-.17,1.07,-.13,.05,-.03,-.08,-.19,-.08,-.23
1948,-.10,-.01,-.19,.13,-.18,-.24,.12,.32,.01,-.22,-.13,-.20,-.19,-1.39
